day_of_year,hour,consumption
54,16,0.234664423
54,17,0.243068866
54,18,0.245059121
54,19,0.243130739
54,20,0.236747488
54,21,0.222073227
54,22,0.207625835
54,23,0.193199067
55,0,0.182577501
55,1,0.177173908
55,2,0.172275613
55,3,0.172100306
55,4,0.175957069
55,5,0.185000868
55,6,0.20675961
55,7,0.225682497
55,8,0.237211537
55,9,0.241480787
55,10,0.241243607
55,11,0.244873501
55,12,0.241717968
55,13,0.241996397
55,14,0.239139918
55,15,0.234344745
55,16,0.235056287
55,17,0.239542094
55,18,0.24130548
55,19,0.239799899
55,20,0.231271709
55,21,0.216535576
55,22,0.203047218
55,23,0.190992256
56,0,0.180607871
56,1,0.173894629
56,2,0.169584129
56,3,0.169604753
56,4,0.171574384
56,5,0.172719038
56,6,0.177421401
56,7,0.187805786
56,8,0.201056963
56,9,0.210657622
56,10,0.215246551
56,11,0.216154024
56,12,0.216277771
56,13,0.214864999
56,14,0.209378909
56,15,0.203635013
56,16,0.205480897
56,17,0.214132833
56,18,0.217473986
56,19,0.21467938
56,20,0.208543621
56,21,0.197427069
56,22,0.185444293
56,23,0.174771166
57,0,0.163788673
57,1,0.158137587
57,2,0.154208639
57,3,0.153012424
57,4,0.153280541
57,5,0.154322073
57,6,0.155507976
57,7,0.163417433
57,8,0.176091127
57,9,0.186795191
57,10,0.190559144
57,11,0.19335375
57,12,0.196643342
57,13,0.196798025
57,14,0.193838423
57,15,0.188661699
57,16,0.187795474
57,17,0.196189605
57,18,0.204872477
57,19,0.206821483
57,20,0.201407578
57,21,0.192693769
57,22,0.184794624
57,23,0.174338053
58,0,0.16724326
58,1,0.163417433
58,2,0.161798418
58,3,0.162406838
58,4,0.167212323
58,5,0.180545998
58,6,0.210853553
58,7,0.234674735
58,8,0.247699044
58,9,0.248503396
58,10,0.246420331
58,11,0.247998098
58,12,0.248781825
58,13,0.249596489
58,14,0.246626575
58,15,0.24336792
58,16,0.242594505
58,17,0.24988523
58,18,0.254412286
58,19,0.253566686
58,20,0.246740009
